"rank","id","sharedMeaningId","label","definition","POS","japaneseTranslation","canonicalLine","dialogLineId","id","wordId","wordHeadId","wordRootId","wordInstanceId","wordUsageCount","headUsageCount","rootUsageCount","instanceUsageCount","headPick","rootPick","created","modified"
1,2454,1098,DO,to perform something,verb,～する,What can you do?,,4379,2454,37045,405098,137131,0,33120,18076,15656,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
2,23362,11080,YOUR,belonging to the person being spoken to,adjective,あなたの,Your boy is different.,,36471,23362,36659,204635,301881,0,17160,17124,22296,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
3,28962,14353,CAN,used to ask permission or make a request,auxiliary verb,～できる,Can you send it to me?,,44439,28962,29998,402405,39831,0,19065,16408,21011,1,1,2023-05-22 11:51:46.000,2024-07-08 09:12:27.000
4,1178,569,MY,of or belonging to me,pronoun,私の,My coffee has cream in it.,,155593,1178,36667,410989,284644,0,15455,98,18243,0,1,2023-05-22 11:51:46.000,2023-05-22 11:54:08.000
5,95488,2081,MAKE," to cause an action, feeling or situation",verb,,,,145764,95488,5,106678,4204,0,9486,0,1,0,1,2023-05-22 11:51:46.000,2024-02-28 12:58:27.000
5,2117,963,MAKE,to create something,verb,作る,We make French fries.,,3645,2117,5,106693,45192,0,9486,2123,1227,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
5,4828,2081,MAKE," to cause an action, feeling or situation",verb,（ある状態）にする,We will make America strong again.,,8292,4828,5,106695,42281,0,9486,4909,3453,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
6,49500,24647,PEOPLE,more than one person,noun,人々,The people were happy.,,80338,49500,10,412368,342394,0,12033,11663,14188,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
7,15654,6785,OR,used to show a choice between two or more things,conjunction,または,Do you like blue or red?,,25282,15654,39102,208993,43824,0,11094,10915,14261,1,1,2023-05-22 11:51:46.000,2024-07-08 09:46:16.000
8,10041,4034,LIKE,to enjoy or prefer something,verb,好きです,I like chocolate.,,15728,10041,29824,409778,39870,0,4843,3198,3275,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
8,38290,19094,LIKE,such as,preposition,〜のような,Mitsubishi's models are popular in countries like Thailand and the Philippines.,,59348,38290,36627,409783,53393,0,6452,1972,2325,0,1,2023-05-22 11:51:46.000,2024-07-08 06:56:56.000
8,38802,19368,LIKE,similar to someone or something,adverb,～みたい,"...people would say like,...",,60271,38802,36627,409779,93981,0,6452,4212,1042,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,3365,1444,GET,to experience something new,verb,なる,"Like it or not, Facebook's trademark ""Like"" button is set to get more expressive.",,6013,3365,3,407313,160023,0,6689,2614,1336,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,918,467,GET,to obtain or buy something,verb,～を得る,Time to get some lunch.,,1369,918,36500,448944,41928,0,3224,3224,1655,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,6304,2532,MOST,"the greatest amount, number, or part",noun,どれ、どちら,,,10446,6304,37048,429791,335256,0,4268,4220,17,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,6319,2532,INTO,involved with or interested in,preposition,どれ、どちら,,,10461,6319,37048,429791,335235,0,4268,4220,24,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,6334,2532,GOT,became,verb,どれ、どちら,,,10476,6334,37048,429791,335806,0,4268,4220,4,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,6337,2532,GET,become,verb,どれ、どちら,,,10479,6337,37048,429791,335244,0,4268,4220,12,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
9,6362,2532,A,used to say that a person or thing is better than someone or something,article,どれ、どちら,,,10518,6362,37048,429791,335224,0,4268,4220,327,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
10,1569,756,SAY,to express something using words,verb,言う、話す,"I say yes to this,...",,2533,1569,1,415078,41359,0,10629,8900,4159,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
11,38303,19102,OUR,belonging to a group that includes the speaker,adjective,私たちの,The reason I called you was to check and see if our order has been shipped.,,59364,38303,36570,205090,39921,0,8593,8457,10797,1,1,2023-05-22 11:51:46.000,2024-07-08 10:25:24.000
12,45332,22723,ONE,a person or thing from a group,pronoun,ひとつ,It's one of my passions and I would love to do a musical movie or whatsoever.,,71793,45332,976,411637,101530,0,10831,3101,3555,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
12,12913,5408,ONE,refers to a thing,adjective,ひとつの,"Okay, so there's one rule today.",,20744,12913,976,411638,42019,0,10831,5071,7313,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
13,26308,12632,ALL,every one or the whole amount of a thing,adjective,全ての,...that all men are created equal.,,40570,26308,4,400485,40193,0,8892,6008,8383,1,1,2023-05-22 11:51:46.000,2024-07-08 10:28:16.000
13,48848,24333,ALL,the whole amount of something,pronoun,すべての,"And I want to salute you, all of you, for your bravery and your courage.",,79001,48848,4,400484,42613,0,8892,1870,2117,0,0,2023-05-22 11:51:46.000,2024-05-03 09:18:50.000
14,18708,8277,WANT,to desire or wish for something,verb,望む,Have you decided what you want?,,30256,18708,18,418630,40170,0,8156,7300,7040,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
15,15151,6573,YES,a positive answer,noun,はい,"...that means 67 senators have to vote ""Yes.""",,24369,15151,29706,420067,5690,0,6903,2730,26,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
15,48493,24165,YES,used to give a positive answer,adverb,はい,"Yes, we do.",,78181,48493,29706,419133,40321,0,6903,4059,5089,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
16,49495,24643,MORE,of a greater amount or degree,adverb,もっと、もっと多く,Tell me more about your mother.,,80316,49495,17,410832,365392,0,7580,4583,6472,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
16,62090,31599,MORE,additional,adjective,まだ他に、もっと,He earned 1900 times more than his typical worker.,,101055,62090,17,410833,331663,0,7580,2015,2228,0,1,2023-05-22 11:51:46.000,2024-07-01 12:57:25.000
17,1512,734,THINK,to have an idea or opinion about something,verb,思う,I think we might have a problem.,,2387,1512,9,417327,91563,0,9468,6803,7083,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
18,1462,717,USE,to put something to a particular purpose,verb,利用する,Five million people use it every month.,,2280,1462,24,418285,53990,0,7507,6330,4184,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
19,2364,1072,SEE,to look,verb,見る,I want to see those.,,4081,2364,13,415294,44119,0,8237,5523,5027,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
19,70029,36435,SEE,to discover,verb,見て知る,I want to see the other side.,,111968,70029,13,415299,129798,0,8237,877,857,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
20,49783,24792,VERY,to a great degree or extremely,adverb,とても,They're very interesting.,,80972,49783,36649,418444,324509,0,6422,6378,7955,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
21,18610,8215,HIS,something that belongs to or is associated with a male,adjective,彼の,He is walking his dog.,,30145,18610,36708,206854,41685,0,6604,6376,7863,1,1,2023-05-22 11:51:46.000,2024-07-08 03:35:33.000
22,15649,6784,YEAR,a period of twelve months,noun,年,"In just over a year,...",,25260,15649,8,420064,41091,0,6388,6084,3243,0,0,2023-05-22 11:51:46.000,2024-07-08 10:32:35.000
23,12381,5139,MOST,to the greatest degree,adjective,最も,What was the most challenging part?,,19850,12381,36503,455585,60308,0,3968,2092,2935,1,1,2023-05-22 11:51:46.000,2024-07-08 10:30:17.000
24,1143,551,GO,to move or travel to a place,verb,行く,It's time to go home.,,1763,1143,2,407397,138327,0,8593,5959,4605,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
25,48672,24251,KNOW,to have information in your mind,verb,知る、わかっている,I know what you're thinking.,,78582,48672,6,409393,44516,0,7669,5627,6620,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
26,16112,7001,REALLY,used to stress something that is said,adverb,本当に,Cool! That sounds really interesting.,,26083,16112,29672,413920,87214,0,6383,5433,7218,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
27,49932,24847,NO,used to give a negative answer,interjection,いいえ,"No, I didn't.",,81327,49932,36719,204740,39571,0,4019,3875,5168,1,1,2023-05-22 11:51:46.000,2024-07-07 11:53:06.000
27,44261,22246,NO,not any,adjective,ひとつも〜ない,Her representatives had no immediate comment.,,69621,44261,36643,206022,19262,0,1560,1531,1812,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
28,25962,12455,NOW,at the current moment or time,adverb,今,Are you studying Spanish now?,,40094,25962,15,411386,27386,0,6659,5187,6970,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
29,16109,7000,THING,"an idea, event or action",noun,物事,There are some things money can't buy.,,26051,16109,28,417325,284143,0,5685,4993,2492,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
30,26534,12748,ALSO,in addition,adverb,また、も,We also like travelling.,,40911,26534,39107,400531,329033,0,4906,4906,6280,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
31,28420,13781,HERE,in this place,adverb,ここに,I live here.,,43556,28420,27,407987,127837,0,5784,4702,6313,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
32,49710,24757,WORK,a job that you are paid to do,noun,仕事,He likes to take time away from work.,,80780,49710,39,420038,42015,0,7295,1681,2414,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
32,2429,1095,WORK,to do a job ,verb,働く,They work a little harder...,,4255,2429,39,419043,112123,0,7295,2894,1497,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
33,48810,24316,NEW,different from before,adjective,新しい,I like the color of my new car.,,78900,48810,22,411196,287517,0,5545,1239,1427,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
33,49360,24579,NEW,recently made or introduced,adjective,新しい,It's fun to meet new people.,,80024,49360,22,411197,53072,0,5545,3291,4455,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
34,8124,3131,DAY,a period of time,noun,日,"Actually, I'm very busy that day.",,12847,8124,23,404335,104455,0,5464,4308,4016,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
35,67190,34806,WORLD,the earth and everything on it,noun,世界,The world has other universal languages.,,107788,67190,41,419054,47201,0,4952,4116,4808,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
36,239566,190162,THEN,next or after that,adverb,それから、その後,Then I go home.,,296807,239566,16,417272,41946,0,4833,3922,5032,1,1,2023-05-22 11:51:46.000,2024-07-08 05:13:18.000
37,49461,24624,GOOD," nice, helpful, or right",adjective,良い、優秀な,That's a good point.,,80236,49461,35,407421,98313,0,5443,3400,4433,1,1,2023-05-22 11:51:46.000,2024-07-08 03:35:43.000
37,35142,17427,GOOD,pleasant or enjoyable,adjective,良く,Give me a good book any day!,,54063,35142,35,77654,360586,0,5443,15,561,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
38,10200,4100,FIRST,before all others in a series,adjective,最初の,Is this your first time here?,,16056,10200,21,406625,333364,0,4998,3833,5036,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
39,77922,14525,WELL,used to begin or continue a statement,adjective,まあ、さて,"Well, you could get him a toy or some clothes.",,122265,77922,29842,418792,42253,0,3860,3857,5004,0,0,2023-05-22 11:51:46.000,2024-05-09 14:52:36.000
40,38966,19460,MANY,a large number of,adjective,たくさん、多くの,The world has so many lessons to teach you.,,60562,38966,36711,206367,41198,0,4223,3727,4789,1,1,2023-05-22 11:51:46.000,2024-07-07 22:55:06.000
41,73160,38254,TODAY,the present day,noun,今日,"That's all for today, thanks for watching.",,116347,73160,100,417513,41362,0,4130,1010,691,0,1,2023-05-22 11:51:46.000,2024-05-08 14:34:17.000
41,73164,38255,TODAY,on this day,adverb,今日,All of what we've examined today leads us to one conclusion:...,,116352,73164,100,417514,42209,0,4130,2656,3417,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
42,4845,2085,NEED,to must have or must do something,verb,必要とする,I need a suit for my job interviews.,,8342,4845,46,411115,304552,0,4687,3650,3684,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
43,38959,19455,RIGHT,an expression of approval,interjection,"なるほど, そうですね","Right, I think I understand.",,60550,38959,85,255423,209784,0,2587,370,394,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
43,47920,23893,RIGHT,correct,adjective,正しい,"Yes, that's right.",,76922,47920,85,414689,300737,0,2587,727,842,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
43,11058,4549,RIGHT,an action that is good and moral,noun,権利,You have a right to be angry.,,17371,11058,85,414686,1492,0,2587,431,175,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
43,41266,20717,RIGHT,precisely or exactly,adverb,ちょうど、ぴったり,"Oh, that's right.",,64328,41266,36268,414692,40014,0,1324,1265,2074,1,1,2023-05-22 11:51:46.000,2024-07-04 12:13:51.000
43,39550,19758,RIGHT,used to get approval or agreement,interjection,そうですよね,"Easy, right?",,61527,39550,85,237336,72167,0,2587,564,717,0,1,2023-05-22 11:51:46.000,2024-07-05 15:31:34.000
44,27509,13246,HELP,to give someone support,verb,手伝う、助ける,"Hi, how can I help you?",,42318,27509,69,407954,54949,0,4622,3238,3281,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
45,41969,21052,WAY,method,noun,方法,Find your way and build your character.,,65563,41969,19,418709,316494,0,4094,3273,3683,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
46,49915,24839,COUNTRY,a land ruled by its own leaders,noun,国,This country does allow you opportunities.,,81294,49915,68,403945,42448,0,3312,3224,2201,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
47,47769,23832,HIDE,to go to a secret place,verb,隠れる,She decided to hide there.,,76641,47769,1020,408017,104775,0,1186,834,817,1,1,2023-05-22 11:51:46.000,2023-05-22 11:54:08.000
47,25072,12006,HIDE,to not show onscreen,verb,,,,38841,25072,0,464932,395155,0,0,2589,2597,0,1,2023-05-22 11:51:46.000,2023-05-22 11:54:18.000
48,539,289,FIND,to discover something or someone,verb,見つける,"""Go and find some.""",,784,539,26,406578,56862,0,3860,3115,2426,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
49,4944,2116,CALL,to telephone or radio someone,verb,電話する,"So, should I call him?",,8514,4944,40,402377,334205,0,3698,630,352,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
49,384,223,CALL, to give someone or something a name,verb,呼ぶ,Please call me Linda.,,523,384,40,402371,47795,0,3698,2487,965,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
50,4612,1976,LOOK,to direct the eyes somewhere to see things,verb,見る,Look at me.,,7954,4612,20,409952,52865,0,3840,1341,933,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
50,45221,22676,LOOK,to have a certain image,verb,～に見える,It looks like the idea carries.,,71547,45221,20,409958,39498,0,3840,1809,1686,1,1,2023-05-22 11:51:46.000,2024-06-28 18:14:21.000
51,12219,5071,TELL,to say something,verb,教える、話す、伝える,"Okay, please tell us.",,19495,12219,31,417145,17113,0,3246,2909,2132,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
52,37474,18623,WHY,used to ask or talk about a reason,adverb,なぜ,Why is that?,,58046,37474,36564,418885,365430,0,2879,2842,3665,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
53,2025,929,TRY,to make an attempt,verb,やってみる、試す,Try this yourself.,,3506,2025,43,417878,48590,0,3072,2893,1921,1,1,2023-05-22 11:51:46.000,2024-07-05 13:55:51.000
54,12401,5147,GREAT,important or having high quality,adjective,大変な、偉大な,With great power comes great responsibility.,,19888,12401,62,407536,98309,0,3911,572,606,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
54,68056,35311,GREAT,very good or attractive,adjective,すばらしい,You have a great sense of humor.,,108947,68056,62,407537,39721,0,3911,2224,3013,1,1,2023-05-22 11:51:46.000,2024-07-04 15:23:54.000
55,1489,729,START,to begin to do something,verb,始める,I can start working on it right away.,,2333,1489,73,416514,298857,0,3593,2747,1663,0,0,2023-05-22 11:51:46.000,2023-05-22 11:51:46.000
